idAutobus,marcaTiempo,latitud,longitud,velocidad
BUS02,2024-05-16 10:08,40.416878,-3.709315,7
BUS02,2024-05-16 10:09,40.416937,-3.709811,5
BUS02,2024-05-16 10:10,40.416939,-3.710311,4
BUS02,2024-05-16 10:11,40.416847,-3.710802,0
BUS02,2024-05-16 10:12,40.416718,-3.711285,10
BUS02,2024-05-16 10:13,40.416593,-3.711770,39
BUS02,2024-05-16 10:14,40.416488,-3.712258,37
BUS02,2024-05-16 10:15,40.416474,-3.712758,14
BUS02,2024-05-16 10:16,40.416409,-3.713254,33
BUS02,2024-05-16 10:17,40.416275,-3.713736,12
BUS02,2024-05-16 10:18,40.416186,-3.714228,32
BUS02,2024-05-16 10:19,40.416156,-3.714727,13
BUS02,2024-05-16 10:20,40.416161,-3.715227,20
BUS02,2024-05-16 10:21,40.416225,-3.715723,5
BUS02,2024-05-16 10:22,40.416336,-3.716210,7
BUS02,2024-05-16 10:23,40.416458,-3.716695,17
BUS02,2024-05-16 10:24,40.416564,-3.717184,26
BUS02,2024-05-16 10:25,40.416592,-3.717683,6
BUS02,2024-05-16 10:26,40.416614,-3.718183,26
BUS02,2024-05-16 10:27,40.416582,-3.718681,38
BUS02,2024-05-16 10:28,40.416584,-3.719181,39
BUS02,2024-05-16 10:29,40.416530,-3.719679,32
BUS02,2024-05-16 10:30,40.416544,-3.720178,0
BUS02,2024-05-16 10:31,40.416523,-3.720678,22
BUS02,2024-05-16 10:32,40.416526,-3.721178,33
BUS02,2024-05-16 10:33,40.416522,-3.721678,39
BUS02,2024-05-16 10:34,40.416427,-3.722169,16
BUS02,2024-05-16 10:35,40.416279,-3.722646,39
BUS02,2024-05-16 10:36,40.416177,-3.723136,38
BUS02,2024-05-16 10:37,40.416019,-3.723610,34
BUS02,2024-05-16 10:38,40.415781,-3.724050,32
BUS02,2024-05-16 10:39,40.415615,-3.724522,27
BUS02,2024-05-16 10:40,40.415388,-3.724967,3
BUS02,2024-05-16 10:41,40.415093,-3.725371,13
BUS02,2024-05-16 10:42,40.414803,-3.725778,24
BUS02,2024-05-16 10:43,40.414517,-3.726189,6
BUS02,2024-05-16 10:44,40.414283,-3.726630,28
BUS02,2024-05-16 10:45,40.414082,-3.727088,20
BUS02,2024-05-16 10:46,40.413799,-3.727500,33
BUS02,2024-05-16 10:47,40.413508,-3.727907,32
BUS02,2024-05-16 10:48,40.413279,-3.728351,2
BUS02,2024-05-16 10:49,40.413076,-3.728808,33
BUS03,2024-05-16 10:00,40.418500,-3.701200,3
BUS03,2024-05-16 10:01,40.418478,-3.701699,34
BUS03,2024-05-16 10:02,40.418376,-3.702189,32
BUS03,2024-05-16 10:03,40.418199,-3.702657,1
BUS03,2024-05-16 10:04,40.418020,-3.703124,19
BUS03,2024-05-16 10:05,40.417776,-3.703560,9
BUS03,2024-05-16 10:06,40.417459,-3.703947,18
BUS03,2024-05-16 10:07,40.417150,-3.704340,3
BUS03,2024-05-16 10:08,40.416867,-3.704752,20
BUS03,2024-05-16 10:09,40.416519,-3.705111,9
BUS03,2024-05-16 10:10,40.416108,-3.705396,11
BUS03,2024-05-16 10:11,40.415680,-3.705654,20
BUS03,2024-05-16 10:12,40.415245,-3.705900,9
BUS03,2024-05-16 10:13,40.414772,-3.706063,7
BUS03,2024-05-16 10:14,40.414286,-3.706179,11
BUS03,2024-05-16 10:15,40.413788,-3.706229,8
BUS03,2024-05-16 10:16,40.413296,-3.706318,28
BUS03,2024-05-16 10:17,40.412815,-3.706455,35
BUS03,2024-05-16 10:18,40.412327,-3.706563,26
BUS03,2024-05-16 10:19,40.411827,-3.706583,7
BUS03,2024-05-16 10:20,40.411331,-3.706645,32
BUS03,2024-05-16 10:21,40.410850,-3.706780,12
BUS03,2024-05-16 10:22,40.410380,-3.706952,38
BUS03,2024-05-16 10:23,40.409945,-3.707197,5
BUS03,2024-05-16 10:24,40.409499,-3.707425,15
BUS03,2024-05-16 10:25,40.409094,-3.707717,28
BUS03,2024-05-16 10:26,40.408666,-3.707976,13
BUS03,2024-05-16 10:27,40.408217,-3.708195,24
BUS03,2024-05-16 10:28,40.407818,-3.708497,7
BUS03,2024-05-16 10:29,40.407477,-3.708862,21
BUS03,2024-05-16 10:30,40.407086,-3.709175,40
BUS03,2024-05-16 10:31,40.406736,-3.709532,31
BUS03,2024-05-16 10:32,40.406425,-3.709923,33
BUS03,2024-05-16 10:33,40.406063,-3.710268,37
BUS03,2024-05-16 10:34,40.405641,-3.710536,2
BUS03,2024-05-16 10:35,40.405246,-3.710843,12
BUS03,2024-05-16 10:36,40.404844,-3.711140,40
BUS03,2024-05-16 10:37,40.404436,-3.711429,15
BUS03,2024-05-16 10:38,40.404004,-3.711680,20
BUS03,2024-05-16 10:39,40.403618,-3.711998,21
BUS03,2024-05-16 10:40,40.403301,-3.712385,10
BUS03,2024-05-16 10:41,40.402931,-3.712722,39
BUS03,2024-05-16 10:42,40.402508,-3.712989,8
BUS03,2024-05-16 10:43,40.402067,-3.713223,5
BUS03,2024-05-16 10:44,40.401613,-3.713433,17
BUS03,2024-05-16 10:45,40.401163,-3.713650,16
BUS03,2024-05-16 10:46,40.400707,-3.713856,33
BUS03,2024-05-16 10:47,40.400225,-3.713988,10
BUS03,2024-05-16 10:48,40.399743,-3.714121,26
BUS03,2024-05-16 10:49,40.399273,-3.714293,10
